FrameCounter,Timestamp,Flags,Region0R,Region1R,Region2G,Region3G,Region4G
263,29075.98422,20,0.012933559,0.01881732,0.357136833,0.453448077,0.01232493
264,29075.98976,17,0.025289258,0.025146283,0.093645899,0.056553996,0.003921569
265,29075.99533,18,0.015985711,0.022896515,0.088873076,0.060468653,0.003921569
266,29076.0009,20,0.0128784,0.01880299,0.357395109,0.453593235,0.011577965
267,29076.00643,17,0.02539695,0.025213155,0.093756589,0.056551692,0.003921569
268,29076.012,18,0.015912165,0.022937116,0.08886517,0.060595378,0.003921569
269,29076.01754,20,0.012867893,0.01881732,0.357147375,0.453577107,0.011951447
270,29076.0231,17,0.025347044,0.025148671,0.093977968,0.056574733,0.003921569
271,29076.02864,18,0.015909539,0.023025483,0.088691229,0.060570033,0.003921569
272,29076.03421,20,0.012928306,0.018958229,0.357445182,0.453473422,0.011951447
273,29076.03974,17,0.025449483,0.025112847,0.094223066,0.056586254,0.003921569
274,29076.04531,18,0.015851753,0.02291801,0.089073371,0.060466349,0.003921569
275,29076.05088,20,0.012944066,0.018855532,0.357073582,0.453392779,0.011764706
276,29076.05642,17,0.025318151,0.025170166,0.094146637,0.056669201,0.003921569
277,29076.06198,18,0.015927925,0.02291801,0.088490934,0.060699062,0.003921569
278,29076.06752,20,0.012896786,0.018912851,0.357366118,0.453480335,0.011951447
279,29076.07309,17,0.025289258,0.02517733,0.09365117,0.056475657,0.003921569
280,29076.07862,18,0.015893779,0.02293234,0.088374974,0.06054008,0.003921569
281,29076.08419,20,0.012949319,0.018812543,0.357184272,0.453595539,0.011577965
282,29076.08976,17,0.025365431,0.025198825,0.093516762,0.056429575,0.003921569
283,29076.0953,18,0.015780833,0.022858303,0.088332806,0.060335015,0.003921569
284,29076.10086,20,0.012970332,0.018877027,0.357194813,0.453577107,0.01232493
285,29076.1064,17,0.025328658,0.025124788,0.093398166,0.056330499,0.003921569
286,29076.11197,18,0.015864886,0.022960999,0.088493569,0.060491694,0.003921569
287,29076.1175,20,0.012925679,0.018736118,0.357207991,0.453298311,0.012138189
288,29076.12307,17,0.025347044,0.025053139,0.09362218,0.056171517,0.003921569
289,29076.12861,18,0.015893779,0.022913234,0.08849884,0.060339624,0.003921569
290,29076.13418,20,0.01288628,0.018779107,0.357221168,0.453332873,0.01232493
291,29076.13974,17,0.025289258,0.025079411,0.093643264,0.056086265,0.003921569
292,29076.14528,18,0.015841246,0.022827255,0.088274826,0.060358056,0.003921569
293,29076.15085,20,0.012909919,0.018850756,0.357592768,0.453540241,0.012138189
294,29076.15638,17,0.025307645,0.025036421,0.093442969,0.056169213,0.003921569
295,29076.16195,18,0.01575982,0.022753218,0.088008644,0.060219811,0.003921569
296,29076.16752,20,0.012881026,0.018805378,0.357192178,0.453438861,0.011577965
297,29076.17306,17,0.025273499,0.02510807,0.09325058,0.056305154,0.003921569
298,29076.17859,18,0.015793967,0.022870244,0.087998102,0.060178337,0.003921569
299,29076.18416,20,0.01286264,0.018781496,0.357442547,0.453452685,0.01232493
300,29076.18973,17,0.025257739,0.025079411,0.092921147,0.056406534,0.003921569
301,29076.19526,18,0.015825486,0.022922787,0.087913768,0.060335015,0.003921569
302,29076.20083,20,0.012912546,0.018791049,0.357171094,0.453620884,0.012138189
303,29076.20637,17,0.025291885,0.025148671,0.093158339,0.056268289,0.003921569
304,29076.21194,18,0.015912165,0.022772325,0.088345984,0.06011843,0.003921569
305,29076.2175,20,0.012899413,0.018779107,0.357305503,0.453296007,0.01232493
306,29076.22304,17,0.025284005,0.025131953,0.093269028,0.056054008,0.003921569
307,29076.22858,18,0.015906912,0.022882186,0.088356525,0.060233635,0.003921569
308,29076.23414,20,0.012904666,0.018834038,0.357505798,0.453344393,0.012138189
309,29076.23971,17,0.025291885,0.025019703,0.093440333,0.055929587,0.003921569
310,29076.24525,18,0.015867512,0.022851138,0.088477757,0.060263588,0.003921569
311,29076.25082,20,0.01285476,0.018834038,0.357276513,0.453501071,0.012138189
312,29076.25635,17,0.025347044,0.0251224,0.093551023,0.055977973,0.003921569
313,29076.26192,18,0.015899032,0.022901292,0.088562092,0.060388009,0.003921569
314,29076.26749,20,0.012867893,0.018740895,0.357239616,0.453385867,0.011951447
315,29076.27302,17,0.025328658,0.025110458,0.093464052,0.056178429,0.003921569
316,29076.27859,18,0.015857006,0.022925175,0.08826692,0.060427179,0.003921569
317,29076.28413,20,0.012925679,0.01883165,0.357073582,0.453035644,0.011764706
318,29076.2897,17,0.025278752,0.025110458,0.093208412,0.056063224,0.003921569
319,29076.29523,18,0.015833366,0.022800984,0.088251107,0.060570033,0.003921569
320,29076.3008,20,0.012875773,0.01880299,0.35717373,0.45341582,0.011951447
321,29076.30637,17,0.025202579,0.025050751,0.093097723,0.056063224,0.003921569
322,29076.3119,18,0.015846499,0.022841585,0.088259013,0.060528559,0.003921569
323,29076.31747,20,0.012925679,0.018760001,0.35723171,0.453510288,0.011764706
324,29076.32301,17,0.025320778,0.025086575,0.093545752,0.055876593,0.003921569
325,29076.32858,18,0.015843873,0.022922787,0.088461944,0.060388009,0.003921569
326,29076.33411,20,0.01289416,0.01873373,0.356939174,0.45356789,0.012138189
327,29076.33968,17,0.025291885,0.025081799,0.093875184,0.055881201,0.003921569
328,29076.34522,18,0.015893779,0.022846361,0.088796648,0.060332711,0.003921569
329,29076.35078,20,0.012899413,0.01878866,0.357321316,0.453593235,0.011577965
330,29076.35635,17,0.025268245,0.025151059,0.09362218,0.055931891,0.003921569
331,29076.36189,18,0.015883272,0.022970552,0.088448767,0.060353448,0.003921569
332,29076.36746,20,0.012820614,0.018712235,0.356968164,0.453694615,0.012138189
333,29076.37299,17,0.025223592,0.025000597,0.093590555,0.055931891,0.003921569
334,29076.37856,18,0.015804473,0.022877409,0.088409235,0.060388009,0.003921569
335,29076.3841,20,0.012962452,0.018869862,0.357171094,0.453362826,0.01232493
336,29076.38966,17,0.025202579,0.025081799,0.093295383,0.055901938,0.003921569
337,29076.39523,18,0.015809726,0.02284875,0.088085073,0.060286629,0.003921569
338,29076.40077,20,0.012904666,0.018762389,0.357039321,0.45341582,0.012138189
339,29076.40634,17,0.025265619,0.024974326,0.092942231,0.055855856,0.003921569
340,29076.41187,18,0.015899032,0.022760383,0.088132511,0.060217507,0.003921569
341,29076.41744,20,0.012904666,0.018829261,0.357321316,0.453521808,0.011577965
342,29076.42298,17,0.025234099,0.025065081,0.093034472,0.05581899,0.003921569
343,29076.42854,18,0.015849126,0.022772325,0.088335442,0.060424875,0.003921569
